Instance,activity_start,activity_start_rounded,activity_end,activity_end_rounded,duration_in_minutes
50,05:51:06,05:45:00,07:19:12,07:15:00,88.10
43,08:25:54,08:30:00,09:52:30,10:00:00,86.60
13,08:31:24,08:30:00,08:50:36,08:45:00,19.20
1,09:04:06,09:00:00,11:03:24,11:00:00,119.30
14,09:18:54,09:15:00,09:51:12,09:45:00,32.30
36,09:40:48,09:45:00,11:07:24,11:00:00,86.60
40,09:52:06,09:45:00,11:15:12,11:15:00,83.10
30,10:02:30,10:00:00,11:35:30,11:30:00,93.00
11,10:16:54,10:15:00,10:47:30,10:45:00,30.60
21,10:24:54,10:30:00,10:58:12,11:00:00,33.30
49,11:13:00,11:15:00,12:41:24,12:45:00,88.40
46,11:08:36,11:15:00,12:34:00,12:30:00,85.40
22,11:13:48,11:15:00,11:45:30,11:45:00,31.70
47,11:27:30,11:30:00,12:53:24,13:00:00,85.90
12,11:25:54,11:30:00,11:43:30,11:45:00,17.60
57,11:44:48,11:45:00,13:15:06,13:15:00,90.30
29,12:03:06,12:00:00,14:04:30,14:00:00,121.40
37,11:58:24,12:00:00,13:22:00,13:15:00,83.60
2,12:47:12,12:45:00,14:10:12,14:15:00,83.00
23,12:58:48,13:00:00,14:26:54,14:30:00,88.10
51,13:19:24,13:15:00,15:19:06,15:15:00,119.70
56,13:22:30,13:30:00,14:48:18,14:45:00,85.80
6,13:41:00,13:45:00,14:07:00,14:00:00,26.00
42,13:55:48,14:00:00,15:28:12,15:30:00,92.40
4,14:21:54,14:15:00,16:19:42,16:15:00,117.80
58,14:22:06,14:15:00,15:04:06,15:00:00,42.00
7,14:19:12,14:15:00,14:50:30,14:45:00,31.30
8,15:17:36,15:15:00,15:37:18,15:30:00,19.70
59,15:30:00,15:30:00,15:46:30,15:45:00,16.50
53,16:00:18,16:00:00,18:02:30,18:00:00,122.20
41,17:43:54,17:45:00,19:09:36,19:15:00,85.70
15,17:47:36,17:45:00,19:10:18,19:15:00,82.70
54,17:55:00,18:00:00,19:17:54,19:15:00,82.90
34,18:03:06,18:00:00,18:32:48,18:30:00,29.70
3,18:21:24,18:15:00,20:21:18,20:15:00,119.90
31,18:10:06,18:15:00,19:36:36,19:30:00,86.50
35,18:44:12,18:45:00,20:12:24,20:15:00,88.20
45,18:44:18,18:45:00,20:11:24,20:15:00,87.10
24,18:45:06,18:45:00,20:10:48,20:15:00,85.70
9,18:42:24,18:45:00,19:22:48,19:30:00,40.40
27,19:06:00,19:00:00,19:34:36,19:30:00,28.60
32,19:10:12,19:15:00,19:14:12,19:15:00,4.00
0,19:24:06,19:30:00,21:27:00,21:30:00,122.90
18,19:37:00,19:30:00,20:15:24,20:15:00,38.40
10,19:35:18,19:30:00,20:07:12,20:00:00,31.90
52,19:41:12,19:45:00,21:43:06,21:45:00,121.90
28,19:44:36,19:45:00,20:28:00,20:30:00,43.40
48,19:59:42,20:00:00,21:35:06,21:30:00,95.40
55,20:03:00,20:00:00,21:35:12,21:30:00,92.20
33,20:07:00,20:00:00,21:32:42,21:30:00,85.70
5,20:01:06,20:00:00,21:26:24,21:30:00,85.30
26,19:58:42,20:00:00,21:22:24,21:15:00,83.70
25,20:14:24,20:15:00,21:34:36,21:30:00,80.20
19,20:31:30,20:30:00,20:59:12,21:00:00,27.70
20,20:43:30,20:45:00,22:09:54,22:15:00,86.40
38,20:54:18,21:00:00,21:45:36,21:45:00,51.30
39,22:01:24,22:00:00,22:25:48,22:30:00,24.40
44,22:14:36,22:15:00,23:38:42,23:45:00,84.10
16,22:27:42,22:30:00,22:48:48,22:45:00,21.10
17,23:04:30,23:00:00,23:40:06,23:45:00,35.60
