Instance,activity_start,activity_start_rounded,activity_end,activity_end_rounded,duration_in_minutes,direction
2,12:47:12,1.00,14:10:12,14:00:00,83,45.0
23,12:58:48,1.00,14:26:54,14:30:00,88.1,45.0
51,13:19:24,1.50,15:19:06,15:30:00,119.7,45.0
56,13:22:30,1.50,14:48:18,15:00:00,85.8,45.0
6,13:41:00,1.50,14:07:00,14:00:00,26,45.0
42,13:55:48,2.00,15:28:12,15:30:00,92.4,45.0
4,14:21:54,2.50,16:19:42,16:30:00,117.8,90.0
58,14:22:06,2.50,15:04:06,15:00:00,42,90.0
7,14:19:12,2.50,14:50:30,15:00:00,31.3,90.0
8,15:17:36,3.50,15:37:18,15:30:00,19.7,90.0
59,15:30:00,3.50,15:46:30,16:00:00,16.5,90.0
53,16:00:18,4.00,18:02:30,18:00:00,122.2,135.0
41,17:43:54,5.50,19:09:36,19:00:00,85.7,180.0
15,17:47:36,6.00,19:10:18,19:00:00,82.7,180.0
54,17:55:00,6.00,19:17:54,19:30:00,82.9,180.0
34,18:03:06,6.00,18:32:48,18:30:00,29.7,180.0
3,18:21:24,6.50,20:21:18,20:30:00,119.9,180.0
31,18:10:06,6.00,19:36:36,19:30:00,86.5,180.0
35,18:44:12,6.50,20:12:24,20:00:00,88.2,180.0
45,18:44:18,6.50,20:11:24,20:00:00,87.1,180.0
24,18:45:06,7.00,20:10:48,20:00:00,85.7,225.0
9,18:42:24,6.50,19:22:48,19:30:00,40.4,180.0
27,19:06:00,7.00,19:34:36,19:30:00,28.6,225.0
32,19:10:12,7.00,19:14:12,19:00:00,4,225.0
0,19:24:06,7.50,21:27:00,21:30:00,122.9,225.0
18,19:37:00,7.50,20:15:24,20:30:00,38.4,225.0
10,19:35:18,7.50,20:07:12,20:00:00,31.9,225.0
52,19:41:12,7.50,21:43:06,21:30:00,121.9,225.0
28,19:44:36,7.50,20:28:00,20:30:00,43.4,225.0
48,19:59:42,8.00,21:35:06,21:30:00,95.4,225.0
55,20:03:00,8.00,21:35:12,21:30:00,92.2,225.0
33,20:07:00,8.00,21:32:42,21:30:00,85.7,225.0
5,20:01:06,8.00,21:26:24,21:30:00,85.3,225.0
26,19:58:42,8.00,21:22:24,21:30:00,83.7,225.0
25,20:14:24,8.00,21:34:36,21:30:00,80.2,225.0
19,20:31:30,8.50,20:59:12,21:00:00,27.7,270.0
20,20:43:30,8.50,22:09:54,22:00:00,86.4,270.0
38,20:54:18,9.00,21:45:36,22:00:00,51.3,270.0
39,22:01:24,10.00,22:25:48,22:30:00,24.4,315.0
44,22:14:36,10.00,23:38:42,23:30:00,84.1,315.0
16,22:27:42,10.50,22:48:48,23:00:00,21.1,315.0
17,23:04:30,11.00,23:40:06,23:30:00,35.6,315.0
