,activity_start,activity_end,duration_in_minutes
30,2013-12-25 18:29:18,2013-12-25 18:46:42,17.4
169,2015-05-30 05:29:42,2015-05-30 05:48:00,18.3
111,2014-12-20 18:10:48,2014-12-20 18:29:06,18.3
158,2015-04-22 23:46:30,2015-04-23 00:04:48,18.3
156,2015-04-21 20:50:24,2015-04-21 21:08:42,18.3
116,2014-12-25 11:17:06,2014-12-25 11:35:24,18.3
48,2014-04-04 01:21:42,2014-04-04 01:40:06,18.4
32,2013-12-26 23:17:00,2013-12-26 23:35:24,18.4
118,2014-12-25 20:23:12,2014-12-25 20:41:36,18.4
130,2015-01-25 20:41:24,2015-01-25 20:59:48,18.4
142,2015-02-21 00:46:00,2015-02-21 01:04:24,18.4
75,2014-07-25 20:41:12,2014-07-25 20:59:36,18.4
9,2013-11-10 15:05:30,2013-11-10 15:23:54,18.4
49,2014-04-04 21:58:06,2014-04-04 22:16:30,18.4
137,2015-02-08 21:51:18,2015-02-08 22:09:48,18.5
160,2015-04-23 21:45:18,2015-04-23 22:03:48,18.5
20,2013-12-08 14:22:48,2013-12-08 14:41:30,18.7
12,2013-11-15 14:13:18,2013-11-15 14:32:00,18.7
77,2014-07-27 14:41:48,2014-07-27 15:11:00,29.2
73,2014-07-22 09:01:18,2014-07-22 09:30:48,29.5
72,2014-07-19 12:58:36,2014-07-19 13:28:12,29.6
76,2014-07-26 08:41:06,2014-07-26 09:11:00,29.9
79,2014-08-07 08:32:36,2014-08-07 09:03:00,30.4
63,2014-06-17 12:13:12,2014-06-17 12:43:48,30.6
71,2014-07-15 09:31:36,2014-07-15 10:02:30,30.9
88,2014-09-12 13:06:06,2014-09-12 13:37:00,30.9
81,2014-08-16 09:18:48,2014-08-16 09:49:42,30.9
175,2015-07-06 05:01:30,2015-07-06 05:32:24,30.9
78,2014-07-31 08:43:36,2014-07-31 09:14:30,30.9
70,2014-07-11 13:07:48,2014-07-11 13:38:48,31.0
86,2014-09-05 02:52:54,2014-09-05 03:24:00,31.1
174,2015-07-03 10:15:42,2015-07-03 10:46:48,31.1
87,2014-09-08 13:41:42,2014-09-08 14:12:54,31.2
66,2014-06-26 08:58:12,2014-06-26 09:29:30,31.3
68,2014-07-04 08:44:36,2014-07-04 09:16:00,31.4
92,2014-09-26 02:40:36,2014-09-26 03:12:00,31.4
85,2014-08-29 10:01:18,2014-08-29 10:32:42,31.4
176,2015-07-08 04:20:42,2015-07-08 04:52:06,31.4
69,2014-07-08 07:39:06,2014-07-08 08:10:48,31.7
65,2014-06-22 11:41:48,2014-06-22 12:13:30,31.7
8,2013-11-10 09:45:00,2013-11-10 10:16:42,31.7
89,2014-09-16 11:01:06,2014-09-16 11:33:00,31.9
90,2014-09-20 03:27:06,2014-09-20 03:59:00,31.9
59,2014-05-24 11:45:06,2014-05-24 12:17:00,31.9
64,2014-06-20 09:09:18,2014-06-20 09:41:18,32.0
82,2014-08-19 08:33:18,2014-08-19 09:05:36,32.3
80,2014-08-15 10:12:06,2014-08-15 10:44:30,32.4
74,2014-07-25 10:47:06,2014-07-25 11:19:30,32.4
171,2015-05-31 10:26:06,2015-05-31 10:58:30,32.4
11,2013-11-14 12:09:18,2013-11-14 12:41:42,32.4
0,2013-10-10 10:45:36,2013-10-10 11:18:12,32.6
168,2015-05-28 12:04:18,2015-05-28 12:36:54,32.6
60,2014-05-26 14:42:48,2014-05-26 15:15:30,32.7
100,2014-11-07 12:18:48,2014-11-07 12:51:36,32.8
67,2014-06-30 09:21:36,2014-06-30 09:54:30,32.9
3,2013-10-31 04:29:12,2013-10-31 05:02:06,32.9
1,2013-10-25 10:11:48,2013-10-25 10:44:54,33.1
84,2014-08-26 06:29:06,2014-08-26 07:02:12,33.1
83,2014-08-23 08:26:18,2014-08-23 08:59:30,33.2
97,2014-10-29 04:00:54,2014-10-29 04:34:06,33.2
61,2014-05-30 01:38:48,2014-05-30 02:12:00,33.2
165,2015-05-05 12:03:12,2015-05-05 12:36:24,33.2
167,2015-05-23 03:44:36,2015-05-23 04:17:48,33.2
91,2014-09-23 12:11:48,2014-09-23 12:45:00,33.2
51,2014-04-06 13:49:12,2014-04-06 14:22:24,33.2
110,2014-12-20 11:01:12,2014-12-20 11:34:30,33.3
96,2014-10-24 03:11:00,2014-10-24 03:44:24,33.4
27,2013-12-24 12:17:06,2013-12-24 12:50:30,33.4
172,2015-06-02 11:49:54,2015-06-02 12:23:18,33.4
52,2014-04-08 10:32:18,2014-04-08 11:05:42,33.4
113,2014-12-22 14:02:48,2014-12-22 14:36:18,33.5
173,2015-06-08 10:10:54,2015-06-08 10:44:24,33.5
98,2014-11-01 10:48:30,2014-11-01 11:22:00,33.5
153,2015-04-17 13:17:24,2015-04-17 13:50:54,33.5
44,2014-03-22 02:20:12,2014-03-22 02:53:42,33.5
157,2015-04-22 10:37:30,2015-04-22 11:11:06,33.6
115,2014-12-25 03:04:06,2014-12-25 03:37:42,33.6
