,activity_start,activity_end,duration_in_minutes
335,2014-11-17 14:18:30,2014-11-17 14:28:36,10.1
163,2014-05-23 10:35:06,2014-05-23 10:45:12,10.1
181,2014-06-17 11:22:24,2014-06-17 11:32:30,10.1
500,2015-06-06 15:09:48,2015-06-06 15:20:00,10.2
73,2013-12-27 12:26:00,2013-12-27 12:36:12,10.2
364,2014-12-27 11:54:30,2014-12-27 12:04:48,10.3
102,2014-01-21 15:21:18,2014-01-21 15:31:42,10.4
97,2014-01-19 08:04:18,2014-01-19 08:14:42,10.4
44,2013-12-04 13:41:54,2013-12-04 13:52:30,10.6
185,2014-06-20 13:51:54,2014-06-20 14:02:48,10.9
254,2014-09-04 12:47:18,2014-09-04 12:58:24,11.1
232,2014-08-06 12:20:36,2014-08-06 12:31:48,11.2
101,2014-01-21 14:16:48,2014-01-21 14:28:12,11.4
157,2014-05-21 11:51:18,2014-05-21 12:03:30,12.2
33,2013-11-23 10:14:06,2013-11-23 10:26:30,12.4
293,2014-10-03 12:36:54,2014-10-03 12:49:18,12.4
448,2015-04-13 15:33:24,2015-04-13 15:45:48,12.4
34,2013-11-25 05:44:18,2013-11-25 05:56:42,12.4
14,2013-10-29 12:29:18,2013-10-29 12:41:42,12.4
311,2014-10-18 15:06:48,2014-10-18 15:19:18,12.5
272,2014-09-16 09:08:36,2014-09-16 09:21:06,12.5
119,2014-04-01 11:12:00,2014-04-01 11:24:42,12.7
269,2014-09-12 10:43:18,2014-09-12 10:56:00,12.7
189,2014-06-22 09:59:18,2014-06-22 10:12:00,12.7
7,2013-10-27 10:25:42,2013-10-27 10:38:24,12.7
449,2015-04-13 15:47:48,2015-04-13 16:00:48,13.0
140,2014-04-24 11:53:06,2014-04-24 12:06:24,13.3
50,2013-12-07 11:25:36,2013-12-07 11:39:00,13.4
135,2014-04-16 09:38:18,2014-04-16 09:51:48,13.5
508,2015-07-05 11:51:48,2015-07-05 12:05:18,13.5
188,2014-06-22 09:40:06,2014-06-22 09:53:42,13.6
219,2014-07-25 09:30:06,2014-07-25 09:43:42,13.6
225,2014-07-31 08:04:48,2014-07-31 08:18:30,13.7
182,2014-06-18 10:13:06,2014-06-18 10:26:48,13.7
8,2013-10-27 10:45:12,2013-10-27 10:58:54,13.7
60,2013-12-17 12:11:36,2013-12-17 12:25:18,13.7
165,2014-05-25 02:42:06,2014-05-25 02:56:00,13.9
376,2015-01-06 12:26:48,2015-01-06 12:40:42,13.9
141,2014-04-26 08:36:36,2014-04-26 08:50:30,13.9
239,2014-08-13 11:35:06,2014-08-13 11:49:12,14.1
474,2015-05-04 11:29:42,2015-05-04 11:43:48,14.1
156,2014-05-21 11:03:36,2014-05-21 11:17:42,14.1
320,2014-10-31 10:09:18,2014-10-31 10:23:30,14.2
290,2014-10-02 01:31:30,2014-10-02 01:45:42,14.2
80,2013-12-31 05:01:48,2013-12-31 05:16:06,14.3
286,2014-09-30 10:38:54,2014-09-30 10:53:18,14.4
131,2014-04-11 11:04:18,2014-04-11 11:18:42,14.4
338,2014-11-19 13:56:30,2014-11-19 14:10:54,14.4
241,2014-08-16 11:52:36,2014-08-16 12:07:00,14.4
62,2013-12-17 13:11:48,2013-12-17 13:26:18,14.5
55,2013-12-16 13:57:48,2013-12-16 14:12:18,14.5
48,2013-12-06 12:28:48,2013-12-06 12:43:36,14.8
238,2014-08-13 11:14:36,2014-08-13 11:29:30,14.9
84,2014-01-02 04:10:48,2014-01-02 04:25:54,15.1
169,2014-05-29 08:33:06,2014-05-29 08:48:12,15.1
363,2014-12-27 11:02:30,2014-12-27 11:17:42,15.2
38,2013-11-27 11:23:36,2013-11-27 11:39:00,15.4
11,2013-10-29 10:55:24,2013-10-29 11:11:06,15.7
59,2013-12-17 11:46:48,2013-12-17 12:02:30,15.7
85,2014-01-02 04:28:00,2014-01-02 04:43:42,15.7
142,2014-04-26 08:52:48,2014-04-26 09:08:30,15.7
81,2013-12-31 05:18:12,2013-12-31 05:34:06,15.9
220,2014-07-25 09:45:48,2014-07-25 10:01:42,15.9
61,2013-12-17 12:27:18,2013-12-17 12:43:18,16.0
63,2013-12-17 13:28:18,2013-12-17 13:44:18,16.0
132,2014-04-11 11:28:06,2014-04-11 11:44:12,16.1
321,2014-10-31 10:25:30,2014-10-31 10:41:42,16.2
339,2014-11-19 14:12:54,2014-11-19 14:29:12,16.3
83,2014-01-01 04:49:12,2014-01-01 05:05:54,16.7
226,2014-07-31 08:20:36,2014-07-31 08:37:18,16.7
285,2014-09-30 02:12:54,2014-09-30 02:29:42,16.8
288,2014-10-01 15:45:12,2014-10-01 16:02:06,16.9
134,2014-04-16 09:19:06,2014-04-16 09:36:18,17.2
6,2013-10-27 10:06:30,2013-10-27 10:23:42,17.2
271,2014-09-16 08:49:18,2014-09-16 09:06:30,17.2
164,2014-05-25 02:22:48,2014-05-25 02:40:00,17.2
118,2014-04-01 10:52:48,2014-04-01 11:10:00,17.2
507,2015-07-05 11:32:30,2015-07-05 11:49:42,17.2
473,2015-05-04 11:10:06,2015-05-04 11:27:42,17.6
47,2013-12-06 12:08:48,2013-12-06 12:26:24,17.6
268,2014-09-12 10:23:36,2014-09-12 10:41:12,17.6
279,2014-09-21 04:22:18,2014-09-21 04:40:00,17.7
82,2014-01-01 04:29:30,2014-01-01 04:47:12,17.7
234,2014-08-09 09:32:36,2014-08-09 09:50:42,18.1
270,2014-09-13 06:28:48,2014-09-13 06:47:00,18.2
237,2014-08-12 09:56:24,2014-08-12 10:14:48,18.4
183,2014-06-18 10:28:54,2014-06-18 10:47:30,18.6
159,2014-05-21 12:59:36,2014-05-21 13:18:12,18.6
9,2013-10-27 11:01:00,2013-10-27 11:20:06,19.1
13,2013-10-29 12:07:54,2013-10-29 12:27:06,19.2
56,2013-12-16 14:14:18,2013-12-16 14:33:42,19.4
12,2013-10-29 11:16:00,2013-10-29 11:35:42,19.7
294,2014-10-04 09:06:48,2014-10-04 09:26:30,19.7
310,2014-10-18 14:44:36,2014-10-18 15:04:18,19.7
105,2014-01-23 14:12:18,2014-01-23 14:32:30,20.2
318,2014-10-29 12:23:30,2014-10-29 12:43:42,20.2
