,activity_start,activity_end,duration_in_minutes
666,2015-02-10 19:08:08,2015-02-10 19:11:12,3.066666666666667
129,2014-01-12 12:10:00,2014-01-12 12:13:12,3.2
130,2014-01-12 14:42:56,2014-01-12 14:46:08,3.2
459,2014-09-17 12:19:12,2014-09-17 12:22:32,3.3333333333333335
537,2014-11-28 22:46:08,2014-11-28 22:49:28,3.3333333333333335
83,2013-12-13 21:51:04,2013-12-13 21:54:24,3.3333333333333335
109,2014-01-01 19:22:48,2014-01-01 19:26:16,3.466666666666667
608,2015-01-11 06:05:28,2015-01-11 06:09:04,3.6
365,2014-07-13 00:58:08,2014-07-13 01:01:44,3.6
368,2014-07-14 16:16:56,2014-07-14 16:20:32,3.6
293,2014-05-30 04:17:20,2014-05-30 04:21:12,3.8666666666666667
709,2015-03-10 08:10:16,2015-03-10 08:14:16,4.0
282,2014-05-21 13:13:04,2014-05-21 13:17:12,4.133333333333334
36,2013-11-06 09:32:00,2013-11-06 09:36:08,4.133333333333334
292,2014-05-29 23:29:20,2014-05-29 23:33:28,4.133333333333334
547,2014-12-03 13:04:08,2014-12-03 13:08:16,4.133333333333334
177,2014-03-26 09:52:00,2014-03-26 09:56:24,4.4
534,2014-11-26 20:14:08,2014-11-26 20:18:48,4.666666666666667
287,2014-05-26 09:16:16,2014-05-26 09:20:56,4.666666666666667
662,2015-02-10 07:22:24,2015-02-10 07:27:04,4.666666666666667
127,2014-01-12 08:32:16,2014-01-12 08:37:04,4.8
600,2015-01-02 23:32:24,2015-01-02 23:37:12,4.8
312,2014-06-08 08:11:52,2014-06-08 08:16:40,4.8
314,2014-06-12 09:18:08,2014-06-12 09:22:56,4.8
364,2014-07-12 22:05:04,2014-07-12 22:10:00,4.933333333333334
473,2014-09-30 19:51:52,2014-09-30 19:56:56,5.066666666666666
661,2015-02-10 02:07:28,2015-02-10 02:12:32,5.066666666666666
315,2014-06-12 21:13:28,2014-06-12 21:18:32,5.066666666666666
167,2014-03-21 06:35:44,2014-03-21 06:40:48,5.066666666666666
131,2014-01-12 15:02:56,2014-01-12 15:08:08,5.2
110,2014-01-01 21:18:16,2014-01-01 21:23:52,5.6
430,2014-08-25 03:46:08,2014-08-25 03:51:44,5.6
474,2014-09-30 20:12:16,2014-09-30 20:18:00,5.733333333333333
672,2015-02-13 05:28:56,2015-02-13 05:34:48,5.866666666666666
475,2014-09-30 22:41:20,2014-09-30 22:47:12,5.866666666666666
476,2014-09-30 23:41:28,2014-09-30 23:47:20,5.866666666666666
160,2014-03-17 08:10:24,2014-03-17 08:16:16,5.866666666666666
9,2013-10-23 18:42:16,2013-10-23 18:48:08,5.866666666666666
199,2014-04-05 17:28:56,2014-04-05 17:35:12,6.266666666666667
369,2014-07-14 17:10:16,2014-07-14 17:16:32,6.266666666666667
680,2015-02-21 22:40:40,2015-02-21 22:47:04,6.4
665,2015-02-10 12:43:44,2015-02-10 12:50:08,6.4
