,activity_start,activity_end,duration_in_minutes
170,2014-02-15 13:18:16,2014-02-15 13:21:28,3.2
163,2014-02-13 20:33:20,2014-02-13 20:36:48,3.466666666666667
126,2014-02-02 02:22:16,2014-02-02 02:25:52,3.6
133,2014-02-04 21:42:16,2014-02-04 21:45:52,3.6
135,2014-02-05 02:14:16,2014-02-05 02:18:48,4.533333333333333
136,2014-02-05 02:41:20,2014-02-05 02:45:52,4.533333333333333
125,2014-02-02 02:01:20,2014-02-02 02:05:52,4.533333333333333
124,2014-02-01 22:27:20,2014-02-01 22:31:52,4.533333333333333
138,2014-02-05 22:07:20,2014-02-05 22:11:52,4.533333333333333
130,2014-02-04 00:24:16,2014-02-04 00:28:56,4.666666666666667
181,2014-02-17 00:49:20,2014-02-17 00:54:40,5.333333333333333
160,2014-02-13 01:03:20,2014-02-13 01:08:40,5.333333333333333
143,2014-02-07 00:53:20,2014-02-07 00:58:40,5.333333333333333
157,2014-02-12 19:31:20,2014-02-12 19:36:48,5.466666666666667
158,2014-02-12 22:28:16,2014-02-12 22:33:44,5.466666666666667
131,2014-02-04 01:51:20,2014-02-04 01:56:48,5.466666666666667
149,2014-02-11 20:21:20,2014-02-11 20:26:48,5.466666666666667
146,2014-02-08 19:28:16,2014-02-08 19:33:44,5.466666666666667
155,2014-02-12 18:36:16,2014-02-12 18:41:44,5.466666666666667
178,2014-02-16 20:44:16,2014-02-16 20:49:44,5.466666666666667
187,2014-02-18 21:10:16,2014-02-18 21:15:44,5.466666666666667
173,2014-02-16 00:25:20,2014-02-16 00:30:48,5.466666666666667
144,2014-02-07 03:10:16,2014-02-07 03:15:44,5.466666666666667
278,2014-06-16 20:08:56,2014-06-16 20:14:56,6.0
169,2014-02-15 02:40:16,2014-02-15 02:46:40,6.4
154,2014-02-12 04:07:20,2014-02-12 04:13:44,6.4
151,2014-02-11 21:46:16,2014-02-11 21:52:40,6.4
122,2014-02-01 15:20:16,2014-02-01 15:26:48,6.533333333333333
190,2014-02-19 05:43:20,2014-02-19 05:50:40,7.333333333333333
117,2014-01-30 02:17:20,2014-01-30 02:24:40,7.333333333333333
95,2014-01-24 21:41:20,2014-01-24 21:48:40,7.333333333333333
165,2014-02-14 04:14:16,2014-02-14 04:21:44,7.466666666666667
