,activity_start,activity_end,duration_in_minutes
0,2012-11-09 22:30:18,2012-11-10 01:20:42,170.4
1,2012-11-10 08:59:00,2012-11-10 10:30:36,91.6
2,2012-11-13 07:45:48,2012-11-13 08:06:18,20.5
3,2012-11-13 08:16:54,2012-11-13 08:20:54,4.0
4,2012-11-13 08:35:48,2012-11-13 08:55:12,19.4
5,2012-11-13 09:29:30,2012-11-13 10:10:42,41.2
6,2012-11-13 10:23:42,2012-11-13 10:27:18,3.6
7,2012-11-13 10:46:54,2012-11-13 10:50:42,3.8
8,2012-11-13 23:07:30,2012-11-13 23:53:18,45.8
9,2012-11-14 00:06:18,2012-11-14 01:24:30,78.2
10,2012-11-14 01:41:00,2012-11-14 02:02:12,21.2
11,2012-11-14 02:12:24,2012-11-14 02:15:36,3.2
12,2012-11-14 02:37:48,2012-11-14 02:55:48,18.0
13,2012-11-14 03:08:18,2012-11-14 03:45:06,36.8
14,2012-11-14 04:16:00,2012-11-14 04:21:30,5.5
15,2012-11-14 04:33:30,2012-11-14 04:39:00,5.5
16,2012-11-14 04:52:00,2012-11-14 04:55:30,3.5
17,2012-11-14 05:07:06,2012-11-14 05:13:06,6.0
18,2012-11-14 05:23:12,2012-11-14 05:26:36,3.4
19,2012-11-14 05:39:12,2012-11-14 05:57:00,17.8
20,2012-11-14 06:08:12,2012-11-14 06:31:12,23.0
21,2012-11-14 06:58:30,2012-11-14 08:48:36,110.1
22,2012-11-14 09:02:36,2012-11-14 11:03:06,120.5
23,2012-11-14 11:15:42,2012-11-14 12:22:48,67.1
24,2012-11-14 12:33:42,2012-11-14 15:06:30,152.8
25,2012-11-14 15:17:24,2012-11-14 15:41:54,24.5
26,2012-11-14 16:11:12,2012-11-14 16:20:06,8.9
27,2012-11-14 16:57:48,2012-11-14 18:09:36,71.8
28,2012-11-14 18:41:42,2012-11-14 18:45:36,3.9
29,2012-11-14 19:03:48,2012-11-14 23:01:00,237.2
30,2012-11-14 23:11:12,2012-11-14 23:43:30,32.3
31,2012-11-15 07:15:00,2012-11-15 07:35:48,20.8
32,2012-11-15 07:47:54,2012-11-15 08:40:00,52.1
33,2012-11-15 09:09:30,2012-11-15 09:44:06,34.6
34,2012-11-15 10:07:42,2012-11-15 10:37:00,29.3
35,2012-11-15 11:04:06,2012-11-15 11:29:24,25.3
36,2012-11-15 11:42:48,2012-11-15 12:54:42,71.9
37,2012-11-15 13:12:36,2012-11-15 13:46:42,34.1
38,2012-11-15 13:59:36,2012-11-15 14:42:30,42.9
39,2012-11-15 14:52:36,2012-11-15 15:38:06,45.5
40,2012-11-15 15:51:00,2012-11-15 16:15:18,24.3
41,2012-11-15 16:34:00,2012-11-15 16:39:18,5.3
42,2012-11-15 16:52:00,2012-11-15 17:07:06,15.1
43,2012-11-15 17:17:06,2012-11-15 18:46:06,89.0
44,2012-11-15 19:06:54,2012-11-15 21:34:42,147.8
45,2012-11-15 21:49:24,2012-11-15 21:59:54,10.5
46,2012-11-15 22:11:30,2012-11-16 00:23:18,131.8
47,2012-11-16 00:41:36,2012-11-16 00:47:30,5.9
48,2012-11-16 01:03:54,2012-11-16 01:10:18,6.4
49,2012-11-16 02:20:12,2012-11-16 02:26:30,6.3
50,2012-11-16 03:17:06,2012-11-16 03:26:42,9.6
51,2012-11-16 03:53:42,2012-11-16 04:02:48,9.1
52,2012-11-16 04:21:12,2012-11-16 04:29:24,8.2
53,2012-11-16 04:46:06,2012-11-16 04:51:00,4.9
54,2012-11-16 05:05:24,2012-11-16 05:12:06,6.7
