,activity_start,activity_end,duration_in_minutes
971,2016-11-30 00:14:06,2016-11-30 00:24:12,10.1
927,2016-10-17 08:54:42,2016-10-17 09:04:48,10.1
1040,2017-02-19 15:19:48,2017-02-19 15:29:54,10.1
676,2016-01-12 08:41:12,2016-01-12 08:51:18,10.1
688,2016-01-24 10:14:48,2016-01-24 10:24:54,10.1
186,2013-12-05 22:41:30,2013-12-05 22:51:36,10.1
197,2013-12-20 23:41:00,2013-12-20 23:51:06,10.1
957,2016-11-17 16:55:48,2016-11-17 17:06:00,10.2
207,2014-01-03 00:40:48,2014-01-03 00:51:00,10.2
204,2014-01-01 03:04:06,2014-01-01 03:14:18,10.2
491,2015-05-16 21:09:06,2015-05-16 21:19:18,10.2
116,2013-08-03 21:43:54,2013-08-03 21:54:06,10.2
141,2013-09-15 09:06:42,2013-09-15 09:16:54,10.2
690,2016-01-24 11:27:12,2016-01-24 11:37:24,10.2
1118,2017-04-06 22:17:18,2017-04-06 22:27:30,10.2
721,2016-02-27 00:07:00,2016-02-27 00:17:18,10.3
920,2016-10-10 21:33:30,2016-10-10 21:43:48,10.3
310,2014-07-14 13:07:00,2014-07-14 13:17:18,10.3
665,2016-01-03 16:30:18,2016-01-03 16:40:36,10.3
1133,2017-04-17 22:45:30,2017-04-17 22:55:48,10.3
192,2013-12-12 00:06:06,2013-12-12 00:16:24,10.3
980,2016-12-11 23:52:00,2016-12-12 00:02:24,10.4
46,2013-03-06 09:11:12,2013-03-06 09:21:36,10.4
1125,2017-04-11 05:50:54,2017-04-11 06:01:18,10.4
777,2016-04-30 19:36:42,2016-04-30 19:47:12,10.5
41,2013-02-17 11:14:54,2013-02-17 11:25:24,10.5
292,2014-06-02 11:19:12,2014-06-02 11:29:42,10.5
1069,2017-03-10 01:02:12,2017-03-10 01:12:42,10.5
915,2016-10-07 23:06:18,2016-10-07 23:16:48,10.5
1071,2017-03-11 15:22:42,2017-03-11 15:33:12,10.5
670,2016-01-06 13:17:48,2016-01-06 13:28:18,10.5
760,2016-04-14 21:53:48,2016-04-14 22:04:18,10.5
945,2016-11-07 00:15:36,2016-11-07 00:26:06,10.5
962,2016-11-19 23:30:42,2016-11-19 23:41:18,10.6
248,2014-03-20 00:43:36,2014-03-20 00:54:12,10.6
824,2016-06-28 22:30:48,2016-06-28 22:41:24,10.6
15,2012-12-24 00:19:36,2012-12-24 00:30:12,10.6
943,2016-11-05 00:28:00,2016-11-05 00:38:42,10.7
909,2016-10-04 22:27:00,2016-10-04 22:37:42,10.7
519,2015-06-22 22:44:42,2015-06-22 22:55:24,10.7
753,2016-04-02 23:01:30,2016-04-02 23:12:12,10.7
978,2016-12-11 22:38:48,2016-12-11 22:49:30,10.7
1149,2017-04-23 09:45:12,2017-04-23 09:55:54,10.7
923,2016-10-15 20:22:48,2016-10-15 20:33:36,10.8
1044,2017-02-24 10:09:30,2017-02-24 10:20:18,10.8
1143,2017-04-22 19:53:54,2017-04-22 20:04:42,10.8
974,2016-12-06 12:42:54,2016-12-06 12:53:42,10.8
680,2016-01-16 10:18:42,2016-01-16 10:29:30,10.8
1108,2017-04-03 22:38:36,2017-04-03 22:49:24,10.8
1042,2017-02-20 23:07:54,2017-02-20 23:18:48,10.9
381,2014-11-26 09:28:18,2014-11-26 09:39:12,10.9
711,2016-02-11 23:55:48,2016-02-12 00:06:42,10.9
695,2016-01-30 10:07:42,2016-01-30 10:18:42,11.0
1117,2017-04-06 21:43:54,2017-04-06 21:54:54,11.0
989,2016-12-20 00:00:54,2016-12-20 00:11:54,11.0
457,2015-03-29 21:38:36,2015-03-29 21:49:36,11.0
745,2016-03-23 23:43:12,2016-03-23 23:54:12,11.0
446,2015-03-18 22:55:06,2015-03-18 23:06:06,11.0
103,2013-07-03 06:43:00,2013-07-03 06:54:00,11.0
1049,2017-02-26 15:40:18,2017-02-26 15:51:18,11.0
111,2013-07-16 07:31:18,2013-07-16 07:42:24,11.1
426,2015-02-15 20:11:24,2015-02-15 20:22:30,11.1
1129,2017-04-16 22:40:54,2017-04-16 22:52:00,11.1
540,2015-07-22 22:57:36,2015-07-22 23:08:42,11.1
1106,2017-04-03 13:28:30,2017-04-03 13:39:36,11.1
698,2016-01-31 22:44:12,2016-01-31 22:55:24,11.2
1012,2017-01-18 22:53:00,2017-01-18 23:04:12,11.2
963,2016-11-21 22:39:06,2016-11-21 22:50:18,11.2
1119,2017-04-07 22:05:12,2017-04-07 22:16:24,11.2
1057,2017-03-03 22:25:06,2017-03-03 22:36:24,11.3
937,2016-10-30 01:30:42,2016-10-30 01:42:00,11.3
1016,2017-01-23 23:25:48,2017-01-23 23:37:06,11.3
922,2016-10-13 22:00:30,2016-10-13 22:11:48,11.3
806,2016-06-11 22:31:42,2016-06-11 22:43:00,11.3
767,2016-04-22 23:00:00,2016-04-22 23:11:18,11.3
508,2015-06-14 21:40:18,2015-06-14 21:51:42,11.4
984,2016-12-14 23:25:12,2016-12-14 23:36:36,11.4
600,2015-10-16 21:13:36,2015-10-16 21:25:00,11.4
1067,2017-03-09 00:50:48,2017-03-09 01:02:12,11.4
1039,2017-02-18 10:50:06,2017-02-18 11:01:30,11.4
420,2015-02-06 22:29:48,2015-02-06 22:41:12,11.4
742,2016-03-23 22:29:42,2016-03-23 22:41:12,11.5
544,2015-08-01 22:06:06,2015-08-01 22:17:36,11.5
61,2013-04-03 22:41:00,2013-04-03 22:52:30,11.5
212,2014-01-11 12:56:48,2014-01-11 13:08:18,11.5
977,2016-12-10 00:11:48,2016-12-10 00:23:18,11.5
288,2014-05-17 23:15:42,2014-05-17 23:27:12,11.5
1096,2017-03-27 22:08:18,2017-03-27 22:19:48,11.5
132,2013-09-01 21:11:18,2013-09-01 21:22:48,11.5
146,2013-09-22 22:00:36,2013-09-22 22:12:12,11.6
955,2016-11-14 23:42:42,2016-11-14 23:54:18,11.6
1092,2017-03-23 23:27:06,2017-03-23 23:38:42,11.6
702,2016-02-04 23:38:00,2016-02-04 23:49:36,11.6
865,2016-08-21 22:29:48,2016-08-21 22:41:24,11.6
1113,2017-04-04 19:08:18,2017-04-04 19:20:00,11.7
28,2013-01-06 00:33:18,2013-01-06 00:45:00,11.7
707,2016-02-08 14:14:42,2016-02-08 14:26:24,11.7
359,2014-10-18 22:30:18,2014-10-18 22:42:06,11.8
918,2016-10-09 18:26:36,2016-10-09 18:38:24,11.8
780,2016-05-03 22:17:54,2016-05-03 22:29:42,11.8
124,2013-08-20 21:57:42,2013-08-20 22:09:30,11.8
71,2013-04-16 22:54:24,2013-04-16 23:06:12,11.8
1051,2017-02-28 22:06:30,2017-02-28 22:18:18,11.8
267,2014-04-17 08:51:12,2014-04-17 09:03:06,11.9
281,2014-05-10 09:07:18,2014-05-10 09:19:12,11.9
348,2014-10-05 02:13:54,2014-10-05 02:25:48,11.9
1053,2017-02-28 23:19:48,2017-02-28 23:31:42,11.9
137,2013-09-10 22:29:00,2013-09-10 22:41:00,12.0
831,2016-07-02 12:25:54,2016-07-02 12:37:54,12.0
63,2013-04-05 23:03:12,2013-04-05 23:15:12,12.0
1130,2017-04-16 23:09:36,2017-04-16 23:21:36,12.0
106,2013-07-05 22:33:00,2013-07-05 22:45:06,12.1
1076,2017-03-14 22:36:06,2017-03-14 22:48:12,12.1
1137,2017-04-19 21:06:00,2017-04-19 21:18:06,12.1
712,2016-02-13 22:45:06,2016-02-13 22:57:12,12.1
1036,2017-02-08 22:19:12,2017-02-08 22:31:24,12.2
72,2013-04-19 22:46:30,2013-04-19 22:58:42,12.2
108,2013-07-05 23:54:42,2013-07-06 00:06:54,12.2
669,2016-01-06 12:45:00,2016-01-06 12:57:12,12.2
1091,2017-03-23 23:09:30,2017-03-23 23:21:42,12.2
417,2015-02-02 23:00:18,2015-02-02 23:12:36,12.3
235,2014-02-26 14:50:48,2014-02-26 15:03:06,12.3
1001,2017-01-11 12:56:18,2017-01-11 13:08:36,12.3
1097,2017-03-28 22:56:36,2017-03-28 23:08:54,12.3
990,2016-12-20 00:28:54,2016-12-20 00:41:18,12.4
285,2014-05-14 09:06:12,2014-05-14 09:18:36,12.4
1102,2017-04-02 00:24:00,2017-04-02 00:36:30,12.5
805,2016-06-11 22:13:36,2016-06-11 22:26:06,12.5
998,2017-01-07 10:59:30,2017-01-07 11:12:00,12.5
