,activity_start,activity_end,duration_in_minutes
311,2013-10-20 10:55:36,2013-10-20 11:05:42,10.1
1928,2016-12-05 19:34:42,2016-12-05 19:44:48,10.1
472,2014-02-18 18:04:48,2014-02-18 18:14:54,10.1
637,2014-06-02 10:10:36,2014-06-02 10:20:42,10.1
1568,2016-03-05 12:12:12,2016-03-05 12:22:18,10.1
1789,2016-09-02 10:42:24,2016-09-02 10:52:30,10.1
1004,2015-02-02 10:20:12,2015-02-02 10:30:18,10.1
1729,2016-07-15 12:05:30,2016-07-15 12:15:42,10.2
117,2013-04-21 08:16:12,2013-04-21 08:26:24,10.2
33,2013-01-03 14:23:12,2013-01-03 14:33:30,10.3
596,2014-05-04 16:25:36,2014-05-04 16:35:54,10.3
2055,2017-04-05 09:47:48,2017-04-05 09:58:12,10.4
423,2014-01-09 19:58:42,2014-01-09 20:09:12,10.5
1482,2015-12-31 17:49:48,2015-12-31 18:00:18,10.5
1587,2016-03-20 10:34:48,2016-03-20 10:45:18,10.5
1546,2016-02-15 19:54:54,2016-02-15 20:05:24,10.5
1475,2015-12-29 09:39:30,2015-12-29 09:50:06,10.6
1917,2016-11-24 15:33:36,2016-11-24 15:44:12,10.6
67,2013-03-06 09:11:00,2013-03-06 09:21:36,10.6
395,2013-12-20 20:07:48,2013-12-20 20:18:24,10.6
975,2015-01-17 13:59:54,2015-01-17 14:10:30,10.6
1430,2015-11-28 10:22:42,2015-11-28 10:33:18,10.6
1930,2016-12-06 12:38:54,2016-12-06 12:49:30,10.6
1717,2016-07-09 08:23:00,2016-07-09 08:33:36,10.6
924,2014-12-11 13:08:12,2014-12-11 13:18:48,10.6
1160,2015-04-24 18:18:24,2015-04-24 18:29:00,10.6
253,2013-09-06 10:31:18,2013-09-06 10:41:54,10.6
1883,2016-11-08 18:18:36,2016-11-08 18:29:12,10.6
9,2012-11-22 10:06:42,2012-11-22 10:17:24,10.7
1575,2016-03-11 15:03:42,2016-03-11 15:14:24,10.7
186,2013-07-05 22:24:36,2013-07-05 22:35:18,10.7
1313,2015-09-09 15:32:30,2015-09-09 15:43:18,10.8
1922,2016-11-29 08:13:12,2016-11-29 08:24:00,10.8
1522,2016-01-27 12:08:54,2016-01-27 12:19:42,10.8
1444,2015-12-03 00:56:24,2015-12-03 01:07:18,10.9
860,2014-11-06 11:18:00,2014-11-06 11:29:00,11.0
653,2014-06-08 11:40:54,2014-06-08 11:51:54,11.0
1018,2015-02-10 09:42:36,2015-02-10 09:53:36,11.0
710,2014-07-30 15:58:18,2014-07-30 16:09:24,11.1
1943,2016-12-17 17:55:00,2016-12-17 18:06:06,11.1
1912,2016-11-21 09:00:36,2016-11-21 09:11:42,11.1
958,2015-01-07 19:21:18,2015-01-07 19:32:30,11.2
385,2013-12-12 09:21:06,2013-12-12 09:32:18,11.2
274,2013-09-23 16:02:00,2013-09-23 16:13:12,11.2
1801,2016-09-10 07:27:48,2016-09-10 07:39:00,11.2
315,2013-10-21 16:30:00,2013-10-21 16:41:18,11.3
